,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.13  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","-0.02  CI=[nan, nan]","0.09  CI=[nan, nan]","0.33 ** CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.41 *** CI=[nan, nan]","0.30 ** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.92, 1.00]","0.27 * CI=[0.02, 0.49]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 * CI=[0.00, 0.47]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","0.18  CI=[nan, nan]","0.35 ** CI=[0.12, 0.54]","0.36 ** CI=[0.12, 0.57]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","0.48 *** CI=[0.18, 0.68]","0.81 *** CI=[0.64, 0.94]"
F3-M,"nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.12  CI=[nan, nan]","-0.12  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","0.00  CI=[nan, nan]","0.23  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.92, 1.00]","0.32 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.34 ** CI=[0.09, 0.56]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 ** CI=[0.08, 0.56]","nan  CI=[nan, nan]","0.25 * CI=[-0.03, 0.49]","0.17  CI=[nan, nan]","0.34 ** CI=[0.10, 0.53]","0.40 *** CI=[0.15, 0.61]","0.53 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 * CI=[nan, nan]","0.53 *** CI=[0.24, 0.71]","0.84 *** CI=[0.66, 0.95]"
A1-D,"nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.27 * CI=[0.02, 0.49]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[0.09, 0.56]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","-0.05  CI=[nan, nan]","-0.07  CI=[-0.33, 0.16]","0.08  CI=[-0.22, 0.38]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.28 * CI=[0.04, 0.49]","0.52 *** CI=[0.33, 0.67]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.64 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","-0.03  CI=[nan, nan]","0.14  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.08  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.40 *** CI=[nan, nan]","0.45 *** CI=[nan, nan]"
