,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.2,***,,,,,0.3,***,0.44,***,,,0.7,***,,,0.46,***,,,0.61,***,0.48,***,0.09,,0.32,***,0.09,,,,,,0.61,***,0.31,***,0.29,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.2,***,,,1.0,***,,,,,0.99,***,0.3,***,,,0.2,***,,,0.3,***,,,0.23,***,0.2,***,0.19,***,0.26,***,0.67,***,,,,,0.23,***,0.67,***,0.91,***
F3-M,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.3,***,,,0.99,***,,,,,1.0,***,0.34,***,,,0.27,***,,,0.34,***,,,0.28,***,0.19,***,0.2,***,0.28,***,0.67,***,,,,,0.28,***,0.69,***,0.92,***
A1-D,,,0.44,***,,,0.3,***,,,,,0.34,***,1.0,***,,,0.62,***,,,1.0,***,,,0.58,***,0.29,***,-0.11,*,0.12,*,0.1,,,,,,0.58,***,0.31,***,0.38,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.7,***,,,0.2,***,,,,,0.27,***,0.62,***,,,1.0,***,,,0.65,***,,,0.82,***,0.46,***,0.14,*,0.43,***,0.13,*,,,,,0.82,***,0.43,***,0.4,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.46,***,,,0.3,***,,,,,0.34,***,1.0,***,,,0.65,***,,,1.0,***,,,0.6,***,0.3,***,-0.1,,0.14,*,0.11,,,,,,0.6,***,0.32,***,0.39,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.61,***,,,0.23,***,,,,,0.28,***,0.58,***,,,0.82,***,,,0.6,***,,,1.0,***,0.46,***,0.1,,0.48,***,0.13,*,,,,,1.0,***,0.5,***,0.4,***
I2,,,0.48,***,,,0.2,***,,,,,0.19,***,0.29,***,,,0.46,***,,,0.3,***,,,0.46,***,1.0,***,0.06,,0.24,***,0.06,,,,,,0.46,***,0.23,***,0.19,***
I3-D,,,0.09,,,,0.19,***,,,,,0.2,***,-0.11,*,,,0.14,*,,,-0.1,,,,0.1,,0.06,,1.0,***,0.92,***,-0.21,***,,,,,0.1,,-0.14,**,0.35,***
I,,,0.32,***,,,0.26,***,,,,,0.28,***,0.12,*,,,0.43,***,,,0.14,*,,,0.48,***,0.24,***,0.92,***,1.0,***,-0.13,*,,,,,0.48,***,0.06,,0.46,***
R1.1,,,0.09,,,,0.67,***,,,,,0.67,***,0.1,,,,0.13,*,,,0.11,,,,0.13,*,0.06,,-0.21,***,-0.13,*,1.0,***,,,,,0.13,*,0.93,***,0.69,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.61,***,,,0.23,***,,,,,0.28,***,0.58,***,,,0.82,***,,,0.6,***,,,1.0,***,0.46,***,0.1,,0.48,***,0.13,*,,,,,1.0,***,0.5,***,0.4,***
R,,,0.31,***,,,0.67,***,,,,,0.69,***,0.31,***,,,0.43,***,,,0.32,***,,,0.5,***,0.23,***,-0.14,**,0.06,,0.93,***,,,,,0.5,***,1.0,***,0.76,***
FAIR,,,0.29,***,,,0.91,***,,,,,0.92,***,0.38,***,,,0.4,***,,,0.39,***,,,0.4,***,0.19,***,0.35,***,0.46,***,0.69,***,,,,,0.4,***,0.76,***,1.0,***
